32 , 0.000023 
64 , 0.000173 
96 , 0.000591 
128 , 0.001182 
160 , 0.001955 
192 , 0.003133 
224 , 0.004282 
256 , 0.010937 
288 , 0.008415 
320 , 0.011422 
352 , 0.015224 
384 , 0.036149 
416 , 0.025145 
448 , 0.031036 
480 , 0.038337 
512 , 0.086732 
544 , 0.055797 
576 , 0.122665 
608 , 0.077626 
640 , 0.168774 
672 , 0.104524 
704 , 0.224424 
736 , 0.137282 
768 , 0.294866 
800 , 0.175465 
832 , 0.372458 
864 , 0.219351 
896 , 0.467272 
928 , 0.279106 
960 , 0.582025 
992 , 0.367453 
1024 , 0.885580 
1056 , 0.551520 
1088 , 0.862267 
1120 , 0.851286 
1152 , 1.024440 
1184 , 1.132551 
1216 , 1.206933 
1248 , 1.316796 
1280 , 1.415994 
1312 , 1.548771 
1344 , 1.656614 
1376 , 1.798652 
1408 , 1.929297 
1440 , 2.113555 
1472 , 2.222997 
1504 , 2.427012 
1536 , 2.571389 
1568 , 2.785435 
1600 , 2.948872 
1632 , 3.248715 
1664 , 3.331828 
1696 , 3.568853 
1728 , 3.753743 
1760 , 3.998890 
1792 , 4.187784 
1824 , 4.473586 
1856 , 4.733119 
1888 , 4.969650 
1920 , 5.140907 
1952 , 5.482356 
1984 , 5.707626 
2016 , 6.091704 
2048 , 23.873483 
