32 , 0.000012 
64 , 0.000082 
96 , 0.000320 
128 , 0.000735 
160 , 0.001371 
192 , 0.002557 
224 , 0.004200 
256 , 0.011157 
288 , 0.008655 
320 , 0.011399 
352 , 0.015344 
384 , 0.036370 
416 , 0.025380 
448 , 0.031267 
480 , 0.038536 
512 , 0.087401 
544 , 0.057593 
576 , 0.124612 
608 , 0.078191 
640 , 0.168580 
672 , 0.105224 
704 , 0.224881 
736 , 0.137231 
768 , 0.291720 
800 , 0.175669 
832 , 0.371622 
864 , 0.219852 
896 , 0.461908 
928 , 0.278461 
960 , 0.583388 
992 , 0.366770 
1024 , 0.887754 
1056 , 0.547539 
1088 , 0.859002 
1120 , 0.859500 
1152 , 1.036212 
1184 , 1.136934 
1216 , 1.212481 
1248 , 1.329714 
1280 , 1.413568 
1312 , 1.555703 
1344 , 1.657900 
1376 , 1.808833 
1408 , 1.940497 
1440 , 2.103596 
1472 , 2.246220 
1504 , 2.425034 
1536 , 2.555792 
1568 , 2.768816 
1600 , 2.923232 
1632 , 3.283151 
1664 , 3.306102 
1696 , 3.571162 
1728 , 3.733245 
1760 , 3.985501 
1792 , 4.139900 
1824 , 4.486963 
1856 , 4.693422 
1888 , 4.960436 
1920 , 5.146274 
1952 , 5.463623 
1984 , 5.712652 
2016 , 6.076294 
2048 , 24.520778 
