32 , 0.000006 
64 , 0.000037 
96 , 0.000121 
128 , 0.000285 
160 , 0.000584 
192 , 0.001334 
224 , 0.001686 
256 , 0.002113 
288 , 0.002571 
320 , 0.003334 
352 , 0.004301 
384 , 0.005724 
416 , 0.007069 
448 , 0.009160 
480 , 0.010928 
512 , 0.013367 
544 , 0.016958 
576 , 0.020461 
608 , 0.023023 
640 , 0.027239 
672 , 0.031571 
704 , 0.037000 
736 , 0.041310 
768 , 0.051859 
800 , 0.053764 
832 , 0.064011 
864 , 0.068189 
896 , 0.086005 
928 , 0.089090 
960 , 0.109074 
992 , 0.111954 
1024 , 0.125264 
1056 , 0.133362 
1088 , 0.162954 
1120 , 0.168897 
1152 , 0.186032 
1184 , 0.200880 
1216 , 0.231130 
1248 , 0.274432 
1280 , 0.308349 
1312 , 0.327496 
1344 , 0.356770 
1376 , 0.389620 
1408 , 0.419708 
1440 , 0.431367 
1472 , 0.502367 
1504 , 0.547011 
1536 , 0.636574 
1568 , 0.620893 
1600 , 0.700907 
1632 , 0.729973 
1664 , 0.820358 
1696 , 0.854539 
1728 , 0.900852 
1760 , 0.977281 
1792 , 1.113341 
1824 , 1.120606 
1856 , 1.300880 
1888 , 1.086245 
1920 , 1.524919 
1952 , 1.561916 
1984 , 1.783599 
2016 , 1.846655 
2048 , 0.956911 
